name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,447,2,1,43,373,16,0,220,12,12,75,1,4,19,0,0,0,56,0,22,2,17,7,5,2,3,5,West Bromwich Albion,408,1,1,47,325,8,0,12,7,1,2,0,0,0,60,0,3,15,9,6,1,2,3
Everton,365,1,1,50,281,13,1,214,11,8,28,1,3,12,0,0,0,59,0,22,4,12,9,6,0,2,0,Manchester United,584,1,1,39,496,9,1,10,17,1,1,0,0,0,61,0,0,12,8,8,2,0,6
Arsenal,600,0,1,34,516,13,0,211,11,6,0,2,1,5,1,0,0,62,0,22,4,18,7,3,2,3,6,Chelsea,422,4,3,53,347,12,0,11,16,3,3,0,0,0,66,0,4,17,9,10,2,2,6
Burnley,376,2,1,44,267,6,1,213,4,12,0,1,5,10,0,0,0,78,0,22,3,13,5,6,1,0,4,Liverpool,512,1,0,42,414,7,2,12,17,2,4,0,0,0,82,0,3,13,9,7,2,0,5
Leicester City,489,1,0,26,393,18,0,215,7,7,4,4,2,8,0,0,0,74,0,22,1,28,7,6,3,1,5,Huddersfield Town,451,0,0,61,367,10,1,9,5,1,1,0,0,0,62,0,2,14,15,3,0,1,1
Manchester City,854,3,2,15,783,16,0,216,8,13,0,1,4,18,0,0,0,70,0,22,3,25,1,7,3,1,8,Watford,261,1,0,42,181,8,0,12,5,3,0,0,0,0,69,0,5,15,16,2,1,1,4
Southampton,559,0,0,41,445,8,1,217,8,7,90,1,1,6,0,0,0,73,0,22,2,15,17,7,1,0,3,Crystal Palace,352,2,1,27,247,15,1,11,10,0,0,0,0,0,64,0,2,26,5,4,2,1,4
Swansea City,315,0,0,40,234,11,0,219,12,5,90,4,2,17,0,0,0,63,0,22,3,20,8,5,0,2,1,Tottenham,672,1,0,34,591,6,0,9,10,2,4,0,0,0,55,0,1,18,9,5,2,2,5
Tottenham,668,1,1,27,557,12,0,208,10,20,0,3,1,20,0,0,0,71,0,22,0,17,12,9,1,0,8,West Ham United,282,2,2,73,185,7,0,6,3,3,1,0,0,0,74,0,7,19,3,2,1,2,1
Brighton,396,4,2,57,302,12,0,212,13,11,90,1,3,2,0,0,0,59,0,22,6,6,2,3,2,2,6,AFC Bournemouth,403,0,0,46,330,16,1,9,19,0,3,0,0,0,51,0,4,24,2,6,2,1,8
Stoke City,461,2,2,40,352,18,1,218,10,8,0,2,6,13,0,0,0,70,0,22,5,16,4,3,0,3,4,Newcastle United,338,2,2,56,227,10,0,11,9,0,2,0,0,0,63,0,4,13,10,4,1,1,6
