name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,519,1,0,46,419,23,0,369,2,11,0,3,0,16,0,0,0,76,0,37,1,15,6,6,3,1,1,6
Burnley,369,2,2,53,271,7,1,365,9,5,0,2,3,8,0,0,0,69,0,37,5,20,2,4,0,0,2,1
Huddersfield Town,332,1,0,35,235,5,0,366,10,6,90,2,0,14,0,0,0,58,0,37,6,17,5,2,1,1,1,3
Arsenal,563,0,1,28,488,14,1,361,9,12,0,2,3,3,1,0,0,47,0,37,4,23,6,5,1,1,5,7
Crystal Palace,445,0,0,45,335,15,0,363,11,15,90,2,4,5,0,0,0,72,0,37,6,22,7,7,3,0,0,7
Watford,383,1,1,25,287,10,0,364,12,11,90,3,4,6,0,0,0,63,0,37,6,25,7,9,0,0,1,3
Fulham,602,1,1,49,519,16,1,370,15,4,0,0,2,20,0,0,0,52,0,37,5,17,2,3,0,0,3,2
Wolves,377,3,2,23,285,6,1,370,10,13,0,1,5,9,0,0,0,53,0,37,2,13,9,9,1,1,1,6
Liverpool,681,2,1,31,568,5,0,368,4,11,0,2,4,15,0,0,0,69,0,37,4,11,2,6,3,0,1,4
AFC Bournemouth,437,4,3,31,366,5,0,362,11,17,90,1,10,17,0,0,0,61,0,37,5,15,4,7,1,1,1,6
Everton,552,0,1,38,463,10,0,365,8,11,17,1,3,4,0,0,0,67,0,37,1,17,12,9,2,1,0,7
Leicester City,419,1,1,57,336,11,0,367,5,4,0,0,0,13,0,0,0,50,0,37,4,14,0,2,0,0,2,2
Manchester United,605,2,2,27,512,10,1,366,10,17,53,1,3,10,0,0,0,60,0,37,2,18,15,9,1,0,1,7
Southampton,382,0,0,36,292,9,0,369,11,9,0,1,1,19,0,0,0,60,0,37,3,18,11,4,0,0,1,1
Cardiff City,275,2,2,40,172,7,0,363,14,16,0,1,5,7,0,0,0,65,0,37,4,16,9,6,2,1,0,8
Tottenham,407,1,1,33,321,10,0,362,12,8,0,3,2,2,0,0,0,53,2,37,5,15,8,3,0,0,5,5
Brighton,235,1,2,53,172,7,0,361,14,8,45,4,2,1,1,0,0,48,0,37,6,11,9,4,1,0,2,5
Chelsea,540,5,4,38,457,15,0,364,6,17,90,1,3,18,0,0,0,66,0,37,3,14,7,6,3,1,0,9
Newcastle United,295,0,0,39,205,5,0,368,10,9,0,4,4,12,0,0,0,65,0,37,1,12,7,3,2,1,1,6
Manchester City,639,1,1,24,552,7,0,367,12,10,0,2,1,11,0,0,0,62,0,37,2,22,4,10,1,1,3,5
