name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell_402,256,1,1,52,178,6,0,278,6,2,0,2,2,13,1,0,0,44,0,28,5,14,1,1,0,1,0,2,null
Aaron_Lennon_83,367,1,2,26,244,5,1,279,8,7,0,2,1,15,0,0,0,68,0,28,2,19,8,6,0,2,0,3,1
Aaron_Mooy_199,447,1,1,31,347,5,0,274,10,10,12,0,2,20,0,0,0,57,0,28,0,20,11,9,0,1,1,2,2
Aaron_Ramsey_14,648,2,0,30,577,4,0,271,11,14,0,4,2,2,0,0,0,46,0,28,4,18,5,5,1,5,1,2,2
Aaron_Wan-Bissaka_145,372,3,2,31,298,14,0,273,8,16,0,2,10,14,0,0,0,48,0,28,1,20,6,11,3,1,1,2,1
Abdoulaye_Doucouré_390,390,1,1,51,300,10,0,277,7,4,90,2,0,12,0,0,0,63,0,28,5,17,2,1,0,5,0,2,2
Aboubakar_Kamara_189,568,2,2,26,450,5,0,280,13,8,0,2,1,16,0,0,0,60,0,28,2,21,6,4,0,2,0,1,3
Adama_Traoré_500,458,1,1,30,356,12,0,274,10,6,0,4,1,10,0,0,0,57,0,28,2,24,4,5,0,1,0,2,4
Adam_Lallana_250,627,4,0,28,534,16,0,277,5,9,12,1,5,18,0,0,0,56,0,28,3,29,9,4,0,5,1,0,0
Adam_Smith_29,346,1,0,33,278,6,0,271,9,9,69,4,3,1,0,0,0,47,0,28,1,7,8,4,1,5,0,2,5
Ademola_Lookman_170,535,1,0,39,425,9,0,272,12,10,8,1,1,5,0,0,0,58,0,28,0,21,6,5,3,0,0,1,4
Adrien Sebastian_Perruchet Silva_231,448,1,0,42,369,10,1,275,6,15,0,2,1,3,0,0,0,53,0,28,2,6,7,9,1,2,1,1,1
Alexis_Sánchez_295,470,2,1,25,378,6,0,273,9,9,76,0,2,7,0,0,0,48,0,28,2,20,8,5,3,1,0,3,1
Alex_McCarthy_328,383,0,0,38,295,6,0,280,15,11,0,2,3,9,0,0,0,66,0,28,4,15,11,7,0,2,1,0,1
Alex_Smithies_89,255,0,0,43,143,8,0,272,12,4,0,3,2,8,0,0,0,61,0,28,1,10,12,5,3,0,1,3,2
Alfie_Whiteman_538,547,1,1,34,474,12,1,276,14,8,0,1,2,6,0,0,0,69,0,28,0,27,8,5,0,2,0,1,0
Alireza_Jahanbakhsh_476,447,1,1,23,362,7,0,275,4,8,0,4,1,11,0,0,0,59,0,28,1,14,2,9,1,2,0,1,0
Andreas_Christensen_119,481,0,0,38,393,6,0,276,7,7,0,1,2,17,0,0,0,73,0,28,0,23,11,8,0,2,1,1,2
Antonio_Barreca_588,444,1,1,43,330,5,0,279,8,11,0,0,4,4,0,0,0,63,0,28,2,24,9,8,0,2,1,1,0
Arijanet_Muric_529,776,4,4,17,682,10,0,278,2,15,0,7,4,19,0,0,0,55,0,28,1,14,10,11,0,1,1,,2
