name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell_402,534,1,1,30,443,13,0,289,8,6,33,1,2,15,0,0,0,61,0,29,2,20,4,3,2,1,3,4
Aaron_Lennon_83,422,2,1,22,317,3,0,283,9,15,0,2,7,7,0,0,0,53,0,29,2,15,5,10,1,1,1,4
Aaron_Mooy_199,413,0,0,38,318,2,0,282,6,4,49,0,1,3,0,0,0,63,0,29,2,23,7,0,0,0,2,4
Aaron_Ramsey_14,333,3,4,36,214,11,1,287,14,7,71,1,0,17,1,1,0,63,1,29,2,14,8,2,1,0,2,3
Aaron_Wan-Bissaka_145,344,0,2,58,229,12,1,283,9,7,90,0,1,4,0,0,0,53,0,29,3,16,7,4,3,0,2,5
Abdoulaye_Doucouré_390,371,2,1,52,289,3,0,288,15,4,90,4,1,11,0,0,0,55,0,29,1,13,5,0,2,1,5,5
Aboubakar_Kamara_189,385,2,2,42,310,8,0,285,11,6,0,2,4,6,0,0,0,62,0,29,5,16,6,4,1,1,2,5
Adama_Traoré_500,472,6,5,51,377,17,0,290,11,12,74,1,1,5,0,0,0,72,0,29,3,18,8,5,2,1,1,6
Adam_Lallana_250,475,2,3,47,356,9,0,284,10,9,6,4,4,8,0,0,0,70,0,29,3,18,10,3,0,0,2,3
Adam_Smith_29,176,0,0,56,100,4,0,281,7,0,90,1,1,13,0,0,0,40,0,29,7,9,2,0,0,1,1,0
Ademola_Lookman_170,343,0,0,46,216,10,0,284,12,7,0,2,5,12,0,0,0,66,0,29,3,18,9,3,0,1,1,3
Adrien Sebastian_Perruchet Silva_231,574,1,0,30,481,9,0,288,12,10,0,1,4,18,0,0,0,48,0,29,3,14,4,6,1,0,1,2
Alexis_Sánchez_295,508,2,4,25,406,9,0,286,7,7,51,2,5,16,0,1,0,46,0,29,1,22,2,9,3,1,2,6
Alex_McCarthy_328,283,1,1,48,184,6,0,286,10,7,0,0,3,14,1,0,1,49,0,29,3,8,4,4,2,0,1,3
Alex_Smithies_89,354,1,1,29,243,7,0,290,6,8,0,0,3,20,0,0,0,65,0,29,4,20,6,4,0,0,2,3
Alfie_Whiteman_538,506,1,2,23,395,10,0,287,15,5,0,5,5,1,1,0,1,75,0,29,2,24,11,6,1,1,3,3
Alireza_Jahanbakhsh_476,456,1,0,33,366,9,0,282,11,13,77,3,2,10,0,0,0,58,0,29,4,18,9,5,1,1,2,3
Andreas_Christensen_119,695,0,0,23,630,6,0,285,10,17,90,0,1,9,0,0,0,61,0,29,4,15,8,5,2,0,1,7
Antonio_Barreca_588,420,1,1,23,335,7,0,289,14,13,0,3,2,19,1,0,0,64,0,29,2,25,8,6,0,0,4,2
Arijanet_Muric_529,810,0,1,17,733,4,0,281,7,17,0,2,0,2,0,0,0,53,0,29,0,14,1,10,1,0,2,8
