name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,478,2,2,41,394,13,0,290,10,14,72,2,4,8,0,0,0,71,0,29,2,23,11,8,2,1,0,6
Everton,454,3,0,52,367,9,1,283,9,11,0,4,1,7,0,0,0,62,0,29,0,23,11,4,4,1,2,8
Arsenal,750,1,1,31,658,10,0,289,6,9,90,1,3,19,0,0,0,62,0,29,4,14,8,4,1,0,0,2
Crystal Palace,285,1,1,45,190,13,1,282,8,5,0,1,2,18,0,0,0,61,0,29,2,12,9,5,1,1,0,1
Watford,388,0,0,42,273,8,0,282,15,5,45,1,2,5,0,0,0,53,0,29,0,18,8,4,0,0,2,2
Chelsea,523,1,1,47,440,13,0,286,11,15,0,2,2,14,1,0,0,66,0,29,0,21,13,5,2,0,2,7
Hull City,426,0,1,30,315,1,1,283,7,4,81,0,3,6,0,0,0,69,1,29,4,19,9,4,0,0,0,0
Middlesbrough,555,0,0,28,460,13,0,285,9,7,23,0,9,11,0,0,0,59,0,29,3,15,9,4,1,1,1,3
AFC Bournemouth,448,1,0,51,357,13,0,281,10,9,0,2,3,16,0,0,0,63,0,29,1,18,10,4,2,1,0,7
Liverpool,383,3,3,46,298,11,0,284,7,11,90,2,4,10,0,0,0,58,0,29,2,25,12,5,1,0,3,4
Sunderland,287,2,2,69,183,5,1,287,14,11,0,0,8,3,0,0,0,63,0,29,3,9,12,7,0,1,3,5
Leicester City,352,4,2,38,232,8,0,290,14,9,15,0,1,20,0,0,0,75,0,29,4,20,13,4,3,0,1,5
Burnley,380,2,2,50,271,8,0,287,7,12,0,1,4,15,0,0,0,53,0,29,5,15,6,8,0,0,1,3
Manchester City,562,5,4,41,489,18,1,284,14,11,0,6,4,9,1,0,0,68,0,29,3,31,9,8,1,1,3,3
Southampton,440,1,1,45,329,6,0,288,13,8,0,7,3,17,1,0,0,73,0,29,4,14,6,4,1,0,3,3
West Bromwich Albion,219,3,1,48,130,10,0,289,5,10,0,2,3,1,0,0,0,64,0,29,1,10,6,3,3,1,1,7
Norwich City,459,0,0,36,342,9,0,288,12,10,0,2,1,13,0,0,0,52,0,29,2,21,7,2,2,1,3,6
Swansea City,477,0,0,27,375,11,1,281,9,4,90,1,13,2,0,0,0,65,0,29,5,18,11,5,0,0,2,1
Manchester United,324,3,2,59,237,13,0,285,8,11,0,1,2,12,0,0,0,53,0,29,2,14,9,4,3,0,1,6
Stoke City,294,0,0,41,195,10,0,286,16,3,0,3,2,4,0,0,0,62,1,29,5,20,10,2,1,1,4,1
